Period,Minutes,Seconds,playerId,playerName,typeId,outcome,x,y,xGOT,xG,Game,Date,Team,Type,Opposition,Season,Competition,Player
First Half,6,3,77zsmhko9njb4omwzn29sg6qc,P. Tjiueza,15,1,88.9,69.5,0.0,0.0194350089877843,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Saved,Royal AM,2024/25,Premier Soccer League,Prins Tjiueza
First Half,6,26,4swmcfn5c81m1a5flpdxhz3d,H. Domingo,15,1,90.3,50.9,0.2447521239519119,0.4454299211502075,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Saved,Royal AM,2024/25,Premier Soccer League,Haashim Domingo
First Half,7,14,77zsmhko9njb4omwzn29sg6qc,P. Tjiueza,16,1,88.1,40.9,0.7248644232749939,0.1542512476444244,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Goal,Royal AM,2024/25,Premier Soccer League,Prins Tjiueza
First Half,14,6,6v4kv2oo6v45qa7nhi5dfh90,K. Shezi,15,1,85.5,45.6,0.0,0.0467977374792099,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Khulekani Shezi
First Half,15,5,e1avnpu8xuxlo0ys7fbmv6ju1,Darwin González,13,1,87.8,68.1,0.0,0.0408781208097934,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Miss,Royal AM,2024/25,Premier Soccer League,Darwin González
First Half,16,4,7661mdds8e10hcctvujz4e978,S. Sithole,15,1,91.8,65.2,0.0,0.0544582530856132,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Sabelo Sithole
First Half,16,12,59bwh9di31npfk3hhalnnm51w,A. Maxwele,15,1,84.0,56.4,0.0,0.0487873516976833,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Ayabulela Maxwele
First Half,24,20,4av68w3ljl5c3yxexh91p51xw,J. Rhodes,15,1,79.2,47.1,0.0,0.1350888162851333,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Saved,Royal AM,2024/25,Premier Soccer League,Jaedin Rhodes
First Half,30,17,7661mdds8e10hcctvujz4e978,S. Sithole,13,1,87.2,59.3,0.0,0.0453368946909904,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Miss,Cape Town City FC,2024/25,Premier Soccer League,Sabelo Sithole
First Half,37,6,7661mdds8e10hcctvujz4e978,S. Sithole,15,1,90.2,69.7,0.0493566170334816,0.020887117832899,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Sabelo Sithole
First Half,43,9,e1avnpu8xuxlo0ys7fbmv6ju1,Darwin González,14,1,89.0,64.6,0.0,0.1893412470817566,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Post,Royal AM,2024/25,Premier Soccer League,Darwin González
Second Half,59,23,59bwh9di31npfk3hhalnnm51w,A. Maxwele,15,1,90.2,31.6,0.2148338109254837,0.0270148422569036,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Ayabulela Maxwele
Second Half,68,10,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,90.1,45.2,0.0622912347316741,0.0883010551333427,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,74,53,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,91.5,44.3,0.0,0.0897805318236351,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Miss,Cape Town City FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,80,20,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,88.6,34.4,0.0,0.2608211934566498,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Miss,Cape Town City FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,83,43,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,16,1,89.0,41.1,0.708970308303833,0.0509359799325466,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Goal,Cape Town City FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,88,50,c54cweyvu7bz8qrsgekg5q61g,S. Radebe,15,1,78.5,26.2,0.032839085906744,0.0173662807792425,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Sanele Radebe
First Half,20,11,fivicdovdtvuje2lrqhtsn2t,T. Hlatshwayo,13,1,90.9,61.7,0.0,0.0982433035969734,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Thulani Hlatshwayo
First Half,21,43,3gw6485cfg11i57rcqi8l3u95,S. Ndlovu,13,1,75.6,54.6,0.0,0.0369037687778472,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Siphesihle Ndlovu
First Half,23,0,3gw6485cfg11i57rcqi8l3u95,S. Ndlovu,15,1,88.7,64.2,0.0574255399405956,0.0744993537664413,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Saved,Royal AM,2024/25,Premier Soccer League,Siphesihle Ndlovu
First Half,24,54,cf46emaa3ktf3zkpopujy89yi,T. Dzvukamanja,13,1,93.1,52.1,0.0,0.5579933524131775,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Terrence Dzvukamanja
First Half,33,25,ajnhxatovkzpt8hrf4dxzjkd1,L. Lakay,15,1,80.0,59.3,0.0,0.1230512410402298,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Saved,Royal AM,2024/25,Premier Soccer League,Lyle Lakay
First Half,35,0,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,70.9,42.3,0.0,0.0203763581812381,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Motebang Sera
First Half,35,57,68lytkmiqawmt8wv14ob9mzje,B. Poggenpoel,15,1,69.7,47.2,0.0654539689421653,0.0186021607369184,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Saved,Royal AM,2024/25,Premier Soccer League,Brooklyn Poggenpoel
First Half,41,46,3gw6485cfg11i57rcqi8l3u95,S. Ndlovu,13,1,74.6,81.6,0.0,0.0145188746973872,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Siphesihle Ndlovu
Second Half,47,22,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,78.0,29.5,0.0,0.0065065440721809,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Motebang Sera
Second Half,56,34,5uu5ay146stf9apc7a94vlzis,S. Magidigidi,13,1,96.6,47.6,0.0,0.2223131954669952,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Siviwe Magidigidi
Second Half,63,18,3gw6485cfg11i57rcqi8l3u95,S. Ndlovu,15,1,89.5,47.2,0.2848744094371795,0.1381273418664932,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Saved,Royal AM,2024/25,Premier Soccer League,Siphesihle Ndlovu
Second Half,64,33,59bwh9di31npfk3hhalnnm51w,A. Maxwele,13,1,85.9,28.6,0.0,0.0253560524433851,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Ayabulela Maxwele
Second Half,70,4,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,92.6,44.6,0.0,0.1675855368375778,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Motebang Sera
Second Half,71,30,6z87zb5ilo243nnj2rzbtaluc,T. Mahlangu,15,1,77.1,23.7,0.0,0.0140827074646949,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Saved,Royal AM,2024/25,Premier Soccer League,Thabang Mahlangu
Second Half,72,4,3gw6485cfg11i57rcqi8l3u95,S. Ndlovu,15,1,80.3,56.8,0.1402966231107711,0.0390332117676734,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Saved,Royal AM,2024/25,Premier Soccer League,Siphesihle Ndlovu
Second Half,75,16,7661mdds8e10hcctvujz4e978,S. Sithole,13,1,75.0,55.6,0.0,0.0294068679213523,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Sabelo Sithole
Second Half,78,16,czg2kuophevris5rswgel28t0,S. Zulu,13,1,93.0,45.6,0.0,0.084520898759365,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Sbangani Zulu
Second Half,85,29,59bwh9di31npfk3hhalnnm51w,A. Maxwele,13,1,89.3,31.7,0.0,0.045767493546009,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Miss,SuperSport United,2024/25,Premier Soccer League,Ayabulela Maxwele
Second Half,85,54,6z87zb5ilo243nnj2rzbtaluc,T. Mahlangu,13,1,69.1,52.3,0.0,0.0085824746638536,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Thabang Mahlangu
Second Half,88,2,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,75.4,37.0,0.0411868952214717,0.0324423946440219,SuperSport United vs Royal AM - 0:0,2024-09-21,Royal AM,Saved,SuperSport United,2024/25,Premier Soccer League,Motebang Sera
Second Half,90,46,3gw6485cfg11i57rcqi8l3u95,S. Ndlovu,13,1,84.0,35.4,0.0,0.0440527535974979,SuperSport United vs Royal AM - 0:0,2024-09-21,SuperSport United,Miss,Royal AM,2024/25,Premier Soccer League,Siphesihle Ndlovu
First Half,13,22,6v4kv2oo6v45qa7nhi5dfh90,K. Shezi,15,1,93.4,52.3,0.4235438704490661,0.1443657130002975,Royal AM vs Richards Bay - 0:0,2024-09-24,Royal AM,Saved,Richards Bay,2024/25,Premier Soccer League,Khulekani Shezi
First Half,13,24,czg2kuophevris5rswgel28t0,S. Zulu,13,1,91.4,45.4,0.0,0.0559652633965015,Royal AM vs Richards Bay - 0:0,2024-09-24,Royal AM,Miss,Richards Bay,2024/25,Premier Soccer League,Sbangani Zulu
First Half,28,22,bfnjlgbv8zh5n53stwmrckg0k,T. Ndelu,15,1,72.6,53.6,0.0,0.0151873221620917,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Saved,Royal AM,2024/25,Premier Soccer League,Thabisa Ndelu
Second Half,47,42,575jmd9fguiho8ekxuyi2h2sq,J. Figuareido,14,1,81.9,66.0,0.0,0.0443664193153381,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Post,Royal AM,2024/25,Premier Soccer League,Justice Figuareido
Second Half,55,50,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,86.4,49.7,0.2829580307006836,0.185946375131607,Royal AM vs Richards Bay - 0:0,2024-09-24,Royal AM,Saved,Richards Bay,2024/25,Premier Soccer League,Motebang Sera
Second Half,56,9,bfnjlgbv8zh5n53stwmrckg0k,T. Ndelu,13,1,90.2,26.8,0.0,0.0136519027873873,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Miss,Royal AM,2024/25,Premier Soccer League,Thabisa Ndelu
Second Half,59,17,575jmd9fguiho8ekxuyi2h2sq,J. Figuareido,13,1,77.2,43.4,0.0,0.0479487664997577,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Miss,Royal AM,2024/25,Premier Soccer League,Justice Figuareido
Second Half,72,46,3ezddqp1eoc8bysmo2191i044,Y. Mbuthuma,15,1,92.0,51.3,0.6445395946502686,0.1183474287390708,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Saved,Royal AM,2024/25,Premier Soccer League,Yamela Mbuthuma
Second Half,75,59,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,85.9,40.9,0.0085011972114443,0.0194775331765413,Royal AM vs Richards Bay - 0:0,2024-09-24,Royal AM,Saved,Richards Bay,2024/25,Premier Soccer League,Motebang Sera
Second Half,78,7,1s0u3hagawtug4rs8i6i8h7mx,T. Mthethwa,13,1,76.6,72.5,0.0,0.0070037725381553,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Miss,Royal AM,2024/25,Premier Soccer League,Tlakusani Mthethwa
Second Half,79,23,ag7fbgdd5b56dov0j4bj44xxx,T. Matlaba,15,1,65.0,66.2,0.0,0.0161457583308219,Royal AM vs Richards Bay - 0:0,2024-09-24,Royal AM,Saved,Richards Bay,2024/25,Premier Soccer League,Thabo Matlaba
Second Half,79,28,cli1lhlpw2fz5bwoq37us0y5l,S. George,13,1,85.3,38.5,0.0,0.0426186323165893,Royal AM vs Richards Bay - 0:0,2024-09-24,Royal AM,Miss,Richards Bay,2024/25,Premier Soccer League,Sedwyn George
Second Half,92,15,44rtk5k27ka5l40g2050l5ox6,S. Mcineka,13,1,90.1,43.0,0.0,0.1767869889736175,Royal AM vs Richards Bay - 0:0,2024-09-24,Richards Bay,Miss,Royal AM,2024/25,Premier Soccer League,Simphiwe Mcineka
First Half,3,14,7jo58y1spxh3vgwyvw552z015,W. Makhubu,13,1,96.5,55.7,0.0,0.1779300421476364,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Miss,Royal AM,2024/25,Premier Soccer League,Wonderboy Makhubu
First Half,5,30,8sa9w7t61zuj8472ntrwl5yvp,K. Mahlasela,13,1,90.8,52.2,0.0,0.0720081180334091,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Miss,Magesi FC,2024/25,Premier Soccer League,Kabelo Mahlasela
First Half,11,55,4bh1iqhcri5wg5oyjucswbvv8,D. Abrahams,15,1,79.0,20.3,0.0760441645979881,0.0141699416562914,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Saved,Royal AM,2024/25,Premier Soccer League,Delano Abrahams
First Half,11,58,c6c6db8696m6h3vh7jkv512xg,T. Kakora,15,1,96.4,42.5,0.548970639705658,0.1537110805511474,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Saved,Royal AM,2024/25,Premier Soccer League,Tshepo Kakora
First Half,15,26,4ri145meqmd5cv2vl2hwlu7f8,L. Mokone,13,1,91.1,55.0,0.0,0.0851740166544914,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Miss,Royal AM,2024/25,Premier Soccer League,Lehlegonolo Mokone
First Half,22,10,d5nlg0j6k2rpucszg5kyjn8k4,S. Gumede,13,1,74.7,63.8,0.0,0.0231896378099918,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Miss,Magesi FC,2024/25,Premier Soccer League,Smiso Gumede
First Half,28,54,7jo58y1spxh3vgwyvw552z015,W. Makhubu,13,1,90.1,33.0,0.0,0.042898241430521,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Miss,Royal AM,2024/25,Premier Soccer League,Wonderboy Makhubu
First Half,32,16,5nqhrih0m3mavq6xas4b3f1lh,D. Mekoa,15,1,85.0,56.2,0.1469476521015167,0.1260961443185806,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Saved,Royal AM,2024/25,Premier Soccer League,Deolin Mekoa
First Half,34,5,7jo58y1spxh3vgwyvw552z015,W. Makhubu,13,1,86.1,54.4,0.0,0.0963730812072753,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Miss,Royal AM,2024/25,Premier Soccer League,Wonderboy Makhubu
First Half,44,9,5nqhrih0m3mavq6xas4b3f1lh,D. Mekoa,13,1,67.5,46.0,0.0,0.016233691945672,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Miss,Royal AM,2024/25,Premier Soccer League,Deolin Mekoa
First Half,44,47,7jo58y1spxh3vgwyvw552z015,W. Makhubu,15,1,88.9,32.2,0.0379799902439117,0.0532923266291618,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Saved,Royal AM,2024/25,Premier Soccer League,Wonderboy Makhubu
First Half,48,49,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,95.4,47.2,0.0,0.4072285294532776,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Miss,Magesi FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,72,43,b59b9o6ialq2e1ikih77fcvmc,S. Cele,13,1,88.1,45.4,0.0,0.1957871168851852,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Miss,Magesi FC,2024/25,Premier Soccer League,Hopewell Cele
Second Half,73,54,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,91.5,48.9,0.0,0.0872479379177093,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Miss,Magesi FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,79,7,67h3xydfwy6m0sfcmug0cuei1,S. Magaqa,15,1,71.2,49.1,0.0404101237654686,0.0225402861833572,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Saved,Magesi FC,2024/25,Premier Soccer League,Sibusiso Magaqa
Second Half,83,4,7661mdds8e10hcctvujz4e978,S. Sithole,15,1,88.1,67.6,0.0,0.0490424707531929,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Saved,Magesi FC,2024/25,Premier Soccer League,Sabelo Sithole
Second Half,87,41,4ri145meqmd5cv2vl2hwlu7f8,L. Mokone,13,1,90.8,55.8,0.0,0.0326015166938304,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Miss,Royal AM,2024/25,Premier Soccer League,Lehlegonolo Mokone
Second Half,89,6,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,90.9,56.4,0.1384179592132568,0.0381290167570114,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Saved,Magesi FC,2024/25,Premier Soccer League,Motebang Sera
Second Half,93,57,9nofndp9ci8btkl494jhxyx2h,S. Darpoh,15,1,67.8,43.8,0.0487120933830738,0.0162069536745548,Magesi FC vs Royal AM - 0:0,2024-09-28,Magesi FC,Saved,Royal AM,2024/25,Premier Soccer League,Samuel Darpoh
Second Half,95,6,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,90.2,48.3,0.0,0.0597594007849693,Magesi FC vs Royal AM - 0:0,2024-09-28,Royal AM,Saved,Magesi FC,2024/25,Premier Soccer League,Motebang Sera
First Half,0,15,6dacsqcplx7q97lk7usiu49ux,S. Mkhulise,13,1,78.8,67.9,0.0,0.013961381278932,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Miss,Royal AM,2024/25,Premier Soccer League,Sphelele Mkhulise
First Half,5,40,6dacsqcplx7q97lk7usiu49ux,S. Mkhulise,16,1,86.4,54.0,0.7919806241989136,0.246225893497467,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Goal,Royal AM,2024/25,Premier Soccer League,Sphelele Mkhulise
First Half,20,29,ag7fbgdd5b56dov0j4bj44xxx,T. Matlaba,13,1,65.3,63.8,0.0,0.0368040613830089,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Miss,Mamelodi Sundowns,2024/25,Premier Soccer League,Thabo Matlaba
First Half,32,31,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,87.1,49.5,0.0,0.2038008570671081,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Miss,Mamelodi Sundowns,2024/25,Premier Soccer League,Motebang Sera
First Half,39,9,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,76.8,35.6,0.1467718929052353,0.0536190681159496,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Saved,Mamelodi Sundowns,2024/25,Premier Soccer League,Motebang Sera
Second Half,60,34,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,85.3,46.2,0.0276845265179872,0.010870580561459,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Saved,Mamelodi Sundowns,2024/25,Premier Soccer League,Motebang Sera
Second Half,62,0,aozjar4nxm7wzvy1m3l2dxyax,T. Mokoena,15,1,74.1,64.2,0.0457773357629776,0.0147650213912129,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Saved,Royal AM,2024/25,Premier Soccer League,Teboho Mokoena
Second Half,62,47,8sa9w7t61zuj8472ntrwl5yvp,K. Mahlasela,13,1,96.4,43.0,0.0,0.1823452860116958,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Miss,Mamelodi Sundowns,2024/25,Premier Soccer League,Kabelo Mahlasela
Second Half,67,55,n1vlnmu6dxm5u2nb0ydg8sgk,S. Mabena,13,1,87.0,63.2,0.0,0.0394200421869754,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Miss,Royal AM,2024/25,Premier Soccer League,Siyabonga Mabena
Second Half,70,30,n1vlnmu6dxm5u2nb0ydg8sgk,S. Mabena,15,1,88.1,63.6,0.0,0.0890407189726829,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Saved,Royal AM,2024/25,Premier Soccer League,Siyabonga Mabena
Second Half,76,1,7wlwd9yo0z03djo89wilufmne,Lucas Ribeiro Costa,13,1,74.1,22.3,0.0,0.0107630509883165,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Miss,Royal AM,2024/25,Premier Soccer League,Lucas Ribeiro Costa
Second Half,84,45,brv7bpht4im2usg2g1wyihbzd,P. Shalulile,15,1,92.1,38.3,0.0,0.1427835673093795,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Saved,Royal AM,2024/25,Premier Soccer League,Peter Shalulile
Second Half,84,48,cyhjayqlzuido52zd79v3nd2h,K. Mudau,16,1,95.5,37.6,0.6906675696372986,0.0855800434947013,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Goal,Royal AM,2024/25,Premier Soccer League,Khuliso Mudau
Second Half,87,13,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,84.4,73.0,0.0,0.0268177818506956,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Miss,Mamelodi Sundowns,2024/25,Premier Soccer League,Motebang Sera
Second Half,91,58,czg2kuophevris5rswgel28t0,S. Zulu,16,1,95.4,46.4,0.8295888900756836,0.1754474192857742,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Goal,Mamelodi Sundowns,2024/25,Premier Soccer League,Sbangani Zulu
Second Half,92,50,n1vlnmu6dxm5u2nb0ydg8sgk,S. Mabena,13,1,76.8,53.8,0.0,0.0627715438604354,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Mamelodi Sundowns,Miss,Royal AM,2024/25,Premier Soccer League,Siyabonga Mabena
Second Half,93,57,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,15,1,90.7,49.5,0.061632253229618,0.0805575847625732,Mamelodi Sundowns vs Royal AM - 2:1,2024-10-23,Royal AM,Saved,Mamelodi Sundowns,2024/25,Premier Soccer League,Motebang Sera
First Half,9,57,8sa9w7t61zuj8472ntrwl5yvp,K. Mahlasela,13,1,86.9,45.2,0.0,0.0416062660515308,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Miss,Sekhukhune United,2024/25,Premier Soccer League,Kabelo Mahlasela
First Half,19,30,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,13,1,81.2,62.0,0.0,0.0241934768855571,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Miss,Sekhukhune United,2024/25,Premier Soccer League,Motebang Sera
First Half,28,49,b1einqmodvkf9tt6e1hyaiiy2,M. Thikazi,13,1,91.8,53.0,0.0,0.0756079629063606,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Miss,Sekhukhune United,2024/25,Premier Soccer League,Mfundo Thikazi
First Half,32,40,34ka5s799nfr5vmakh0dxtu22,L. Kapinga,13,1,84.8,67.8,0.0,0.0389362089335918,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Miss,Royal AM,2024/25,Premier Soccer League,Lesedi Kapinga
First Half,34,32,34ka5s799nfr5vmakh0dxtu22,L. Kapinga,13,1,88.7,62.0,0.0,0.048293400555849,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Miss,Royal AM,2024/25,Premier Soccer League,Lesedi Kapinga
First Half,37,18,cticjwbywaji7ga75bxothces,T. Yamba,13,1,91.4,43.8,0.0,0.0393350236117839,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Miss,Royal AM,2024/25,Premier Soccer League,Trésor Yamba
First Half,43,1,7jrrutxah3yaan2txplynkqju,M. Vandala,14,1,89.5,32.7,0.0,0.1108048409223556,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Post,Royal AM,2024/25,Premier Soccer League,Mcedi Vandala
First Half,45,15,cr41zcpjhsddfyfws66bl9c0k,A. Jiyane,16,1,92.0,57.5,0.8290576338768005,0.1719377934932708,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Goal,Sekhukhune United,2024/25,Premier Soccer League,Ayanda Jiyane
First Half,46,51,34ka5s799nfr5vmakh0dxtu22,L. Kapinga,15,1,74.9,62.0,0.1723224371671676,0.0234589334577322,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Saved,Royal AM,2024/25,Premier Soccer League,Lesedi Kapinga
Second Half,48,24,7aavlwqvacyzjxw6pwhtkix9l,M. Sera,16,1,93.9,40.7,0.4039468467235565,0.4007917046546936,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Goal,Sekhukhune United,2024/25,Premier Soccer League,Motebang Sera
Second Half,51,0,egt5gbd4ndllxle6msg7epyqc,P. Sithebe,15,1,75.9,36.6,0.0,0.01949411816895,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Saved,Sekhukhune United,2024/25,Premier Soccer League,Philani Sithebe
Second Half,52,43,b1einqmodvkf9tt6e1hyaiiy2,M. Thikazi,13,1,86.6,80.4,0.0,0.010979002341628,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Royal AM,Miss,Sekhukhune United,2024/25,Premier Soccer League,Mfundo Thikazi
Second Half,56,3,zhi0x6muc1kkd28cvoxlqtih,K. Makgalwa,15,1,93.8,86.0,0.3620695769786834,0.0305259209126234,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Saved,Royal AM,2024/25,Premier Soccer League,Keletso Makgalwa
Second Half,58,33,zhi0x6muc1kkd28cvoxlqtih,K. Makgalwa,15,1,77.3,72.7,0.0649687275290489,0.0407693199813365,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Saved,Royal AM,2024/25,Premier Soccer League,Keletso Makgalwa
Second Half,58,56,34ka5s799nfr5vmakh0dxtu22,L. Kapinga,15,1,78.6,44.0,0.0,0.0371252186596393,Royal AM vs Sekhukhune United - 2:0,2024-10-26,Sekhukhune United,Saved,Royal AM,2024/25,Premier Soccer League,Lesedi Kapinga
